分类,疾病,文件名,来源,编号/页码,许可,出处/供图,像素,链接
六、风湿免疫、血管炎类,川崎病,kawasaki_pmc00_PMC12199967.jpg,PMC,PMC12199967,CC BY,Reports (MDPI) 2024,738x536,https://pmc.ncbi.nlm.nih.gov/articles/PMC12199967/
六、风湿免疫、血管炎类,系统性红斑狼疮,sle_book00_p167.jpg,教材,p167,版权所有 · 人民卫生出版社,皮肤性病学（第10版）· 张学军、崔勇、高兴华 主编 · 人民卫生出版社 2024,898x284,
六、风湿免疫、血管炎类,系统性红斑狼疮,sle_book01_p166.jpg,教材,p166,版权所有 · 人民卫生出版社,皮肤性病学（第10版）· 张学军、崔勇、高兴华 主编 · 人民卫生出版社 2024,898x331,
六、风湿免疫、血管炎类,系统性红斑狼疮,sle_book02_p165.jpg,教材,p165,版权所有 · 人民卫生出版社,皮肤性病学（第10版）· 张学军、崔勇、高兴华 主编 · 人民卫生出版社 2024,818x355,
六、风湿免疫、血管炎类,系统性红斑狼疮,sle_book03_p166.jpg,教材,p166,版权所有 · 人民卫生出版社,皮肤性病学（第10版）· 张学军、崔勇、高兴华 主编 · 人民卫生出版社 2024,898x311,
六、风湿免疫、血管炎类,系统性红斑狼疮,sle_book04_p167.jpg,教材,p167,版权所有 · 人民卫生出版社,皮肤性病学（第10版）· 张学军、崔勇、高兴华 主编 · 人民卫生出版社 2024,768x365,
六、风湿免疫、血管炎类,过敏性紫癜（IgA 血管炎）,hsp_book00_p182.jpg,教材,p182,版权所有 · 人民卫生出版社,皮肤性病学（第10版）· 张学军、崔勇、高兴华 主编 · 人民卫生出版社 2024,473x355,
六、风湿免疫、血管炎类,成人 Still 病,still_pmc00_PMC11932746.jpg,PMC,PMC11932746,CC BY,International journal of hepatology 2025,355x298,https://pmc.ncbi.nlm.nih.gov/articles/PMC11932746/
七、血液系统、恶性疾病,白血病 / 淋巴瘤皮肤浸润,lymphoma_14667.jpg,PHIL,14667,None - This image is in the public domain.,CDC/ Renelle Woodall,2400x1579,https://wwwn.cdc.gov/PHIL/Details.aspx?pid=14667
七、血液系统、恶性疾病,白血病 / 淋巴瘤皮肤浸润,lymphoma_15467.jpg,PHIL,15467,None - This image is in the public domain.,CDC/ Richard S. Hibbits,2400x1580,https://wwwn.cdc.gov/PHIL/Details.aspx?pid=15467
七、血液系统、恶性疾病,白血病 / 淋巴瘤皮肤浸润,lymphoma_pmc00_PMC13138237.jpg,PMC,PMC13138237,CC BY,JAAD case reports 2026,719x719,https://pmc.ncbi.nlm.nih.gov/articles/PMC13138237/
八、过敏性及其他,急性荨麻疹,urticaria_book00_p137.jpg,教材,p137,版权所有 · 人民卫生出版社,皮肤性病学（第10版）· 张学军、崔勇、高兴华 主编 · 人民卫生出版社 2024,898x331,
八、过敏性及其他,急性荨麻疹,urticaria_book01_p138.jpg,教材,p138,版权所有 · 人民卫生出版社,皮肤性病学（第10版）· 张学军、崔勇、高兴华 主编 · 人民卫生出版社 2024,441x330,
八、过敏性及其他,多形红斑,em_book00_p161.jpg,教材,p161,版权所有 · 人民卫生出版社,皮肤性病学（第10版）· 张学军、崔勇、高兴华 主编 · 人民卫生出版社 2024,800x503,
